No.,Time,Source,Destination,Protocol,Length,Info,Label
1,0,10.0.2.15,34.120.115.102,TLSv1.2,93,Application Data,Benign
2,0.001295366,34.120.115.102,10.0.2.15,TCP,60,443  >  36940 [ACK] Seq=1 Ack=40 Win=65535 Len=0,Benign
3,0.002403886,10.0.2.15,34.120.115.102,TLSv1.2,78,Application Data,Benign
4,0.003157337,34.120.115.102,10.0.2.15,TCP,60,443  >  36940 [ACK] Seq=1 Ack=64 Win=65535 Len=0,Benign
5,0.003962961,10.0.2.15,34.120.115.102,TCP,54,"36940  >  443 [FIN, ACK] Seq=64 Ack=1 Win=62910 Len=0",Benign
6,0.004965858,34.120.115.102,10.0.2.15,TCP,60,443  >  36940 [ACK] Seq=1 Ack=65 Win=65535 Len=0,Benign
7,0.008391647,34.120.115.102,10.0.2.15,TCP,60,"443  >  36940 [FIN, ACK] Seq=1 Ack=65 Win=65535 Len=0",Benign
8,0.008434987,10.0.2.15,34.120.115.102,TCP,54,36940  >  443 [ACK] Seq=65 Ack=2 Win=62910 Len=0,Benign
9,0.054157875,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d,Benign
10,0.054356648,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
11,0.066730925,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d,Benign
12,0.066929527,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
13,0.07741026,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
14,0.077625963,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d,Benign
15,0.088375736,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
16,0.088612897,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
17,0.099248244,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
18,0.099453248,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d,Benign
19,0.11703772,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
20,0.117221439,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
21,10.12814522,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d,Benign
22,10.12950534,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
23,10.13985258,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d,Benign
24,10.14000919,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
25,10.15096082,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
26,10.15152953,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d,Benign
27,10.16266974,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
28,10.16284924,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
29,10.17370927,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.4 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
30,10.17393201,PcsCompu_4d:d6:7d,RealtekU_12:35:04,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d,Benign
31,10.18466755,PcsCompu_4d:d6:7d,RealtekU_12:35:02,ARP,42,10.0.2.3 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.2 detected!),Mallicious
32,10.18488847,PcsCompu_4d:d6:7d,RealtekU_12:35:03,ARP,42,10.0.2.2 is at 08:00:27:4d:d6:7d (duplicate use of 10.0.2.3 detected!),Mallicious
33,15.0027006,10.0.2.15,34.149.100.209,TLSv1.2,93,Application Data,Benign
34,15.00333214,34.149.100.209,10.0.2.15,TCP,60,443  >  43962 [ACK] Seq=1 Ack=40 Win=65535 Len=0,Benign
35,15.00418969,10.0.2.15,35.201.103.21,TLSv1.2,93,Application Data,Benign
36,15.00542816,35.201.103.21,10.0.2.15,TCP,60,443  >  37808 [ACK] Seq=1 Ack=40 Win=65535 Len=0,Benign
37,15.00628862,10.0.2.15,35.201.103.21,TLSv1.2,78,Application Data,Benign
38,15.00757695,35.201.103.21,10.0.2.15,TCP,60,443  >  37808 [ACK] Seq=1 Ack=64 Win=65535 Len=0,Benign
39,15.00793414,10.0.2.15,35.201.103.21,TCP,54,"37808  >  443 [FIN, ACK] Seq=64 Ack=1 Win=62780 Len=0",Benign
40,15.00899217,35.201.103.21,10.0.2.15,TCP,60,443  >  37808 [ACK] Seq=1 Ack=65 Win=65535 Len=0,Benign
41,15.00979433,10.0.2.15,34.149.100.209,TLSv1.2,78,Application Data,Benign
42,15.01069497,34.149.100.209,10.0.2.15,TCP,60,443  >  43962 [ACK] Seq=1 Ack=64 Win=65535 Len=0,Benign
43,15.01157953,10.0.2.15,34.149.100.209,TCP,54,"43962  >  443 [FIN, ACK] Seq=64 Ack=1 Win=65535 Len=0",Benign
44,15.01259456,34.149.100.209,10.0.2.15,TCP,60,443  >  43962 [ACK] Seq=1 Ack=65 Win=65535 Len=0,Benign
45,15.01676874,35.201.103.21,10.0.2.15,TCP,60,"443  >  37808 [FIN, ACK] Seq=1 Ack=65 Win=65535 Len=0",Benign
46,15.01680261,10.0.2.15,35.201.103.21,TCP,54,37808  >  443 [ACK] Seq=65 Ack=2 Win=62780 Len=0,Benign
47,15.0167692,34.149.100.209,10.0.2.15,TCP,60,"443  >  43962 [FIN, ACK] Seq=1 Ack=65 Win=65535 Len=0",Benign
48,15.01691697,10.0.2.15,34.149.100.209,TCP,54,43962  >  443 [ACK] Seq=65 Ack=2 Win=42668 Len=0,Benign
49,16.00700165,10.0.2.15,18.161.111.125,TLSv1.2,100,Application Data,Benign
50,16.00881124,10.0.2.15,18.161.111.125,TLSv1.2,85,Encrypted Alert,Mallicious
